,,,,,,,,,
,Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,DM Title,DM Background
,Achira Labs,achiralabs.com,Bengaluru,Specialty diagnostics & life-science tools,"Medical Diagnostics, Microfluidics, Microfabricatio, Instrumentation, Assay Development, Fabric assays, Public Health, and Point-of-care",Rs.50–100 Cr (Estimated),Dr. Dhananjaya Dendukuri,CEO & Co-founder,Ph.D. in Chemical Engineering from MIT (Massachusetts Institute of Technology). Biotechnology entrepreneur and microfluidics expert. Leads Achira Labs in developing point-of-care medical diagnostics.
,String Bio Pvt Ltd,stringbio.com,Bengaluru,Specialty Biotech,"Alternative Protein, Synthetic Biology, Fermentation, Sustainable Solutions, Protein for Feed, Microbial Products, Decarbonization, Personal Care, Textiles, Materials, Circular Economy, Agriculture",Rs.100–300 Cr (Estimated),Dr. Ezhil Subbian,CEO & Co-founder,Biotechnology entrepreneur and scientist with 20+ years of experience in biobased product innovation and commercialization. Co-founded String Bio in 2013
,Avesthagen Ltd,"avesthagen.com

",Bengaluru,Specialty Biote,"Genomics, biomarkers, precision medicine technologies, life science products",< Rs.50 Cr,Dr. Villoo Morawala-Patell,"Founder, Chairman & Managing Director","iotechnology entrepreneur and molecular biologist. PhD from the University of Strasbourg, former researcher at International Crops Research Institute for the Semi-Arid Tropics and National Centre for Biological Sciences. Founded Avesthagen in 1998 and leads its work in systems biology, genomics, diagnostics, precision medicine, and biotechnology innovation."
,Azooka Life,azooka.life,Bengaluru,Specialty Diagnostics & Life Science Tools,"DNA & RNA sample collection kits, genomic workflow kits, reagents, diagnostics",< Rs.50 Cr,Alex D Paul,founder,"Biotechnology entrepreneur with expertise in product management, genomics commercialization, and deep-tech startups. Co-founded Azooka with Dr. J. Fathima Benazir"
,Biocon Biologics,bioconbiologics.com,Bengaluru,Biopharmaceuticals / Biosimilars,"Biosimilar medicines for diabetes, oncology, immunology and other chronic diseases",> Rs.500 Cr,Kiran Mazumdar-Shaw,Founder & Executive Chairperson,First-generation biotechnology entrepreneur. Founded Biocon in 1978 and built it into one of the world's leading biosimilars companies
,Bionivid Technology,bione.in,Bengaluru,Genetic Testing / Microbiome Biotechnology,Personalized genetic testing and microbiome testing services for preventive healthcare,< Rs.50 C,Ashish Kumar Dubey,Co-founder & CEO,Biotechnology entrepreneur and genomics expert. Co-founded Bionivid in 2011
,Bionivid Technology,bionivid.com,Bengaluru,Genomics / Bioinformatics,"Next Generation Sequencing (NGS), Microarray Data Analytics, Genome Informatics, Bioinformatics Software and Analytics Solutions",< Rs.50 C,Ashish Kumar Dubey,Co-founder & CEO,Biotechnology entrepreneur and genomics expert. Co-founded Bionivid in 2011
,BioNome,bionome.in,Bengaluru,Genomics / Bioinformatics / Biotechnology,"Whole genome sequencing, protein and peptide sequencing, bioinformatics, drug discovery, cell culture and CRO research services",<Rs70Cr,Rajan Chourasiya,Director,"Biotechnology entrepreneur and founder of BioNome. Leads the company in genomics, bioinformatics, drug discovery, next-generation sequencing (NGS),"
,Biopol Biosciences,www.biopolbiosciences.com,Bengaluru,Biotechnology / Nutraceutical,"Develops probiotic and prebiotic ingredients for pharmaceutical, nutraceutical, and food industries.",<Rs.50Cr-100cr,Not Publicly Available,Founder / Managing Director,"Leadership information not publicly disclosed; biotechnology company focused on probiotic and prebiotic ingredients for pharmaceutical, nutraceutical, and food industries.

"
,,,,,,,,,
